Incident ID,Date,State,City,Attack,Severity,Sector,Financial Loss,Affected Users,Source,Status
CR00049,11-10-2024,Telangana,Hyderabad,Ransomware,High,Corporate,1541602,44085,CERT-In,Open
CR00050,14-01-2024,Andaman and Nicobar Islands,Port Blair,DDoS,Low,E-commerce,1761899,2668,CERT-In,Open
CR00051,12-01-2026,Mizoram,Aizawl,Identity Theft,Critical,Banking,230575,49003,User Report,Resolved
CR00052,01-05-2026,Dadra and Nagar Haveli and Daman and Diu,Silvassa,Identity Theft,Critical,IT,780806,22526,User Report,Investigating
CR00053,20-01-2024,Himachal Pradesh,Shimla,Malware,High,E-commerce,175238,17612,Organization,Open
CR00054,02-05-2025,Arunachal Pradesh,Naharlagun,Data Breach,Low,Banking,2297542,26031,User Report,Investigating
CR00055,27-04-2025,Mizoram,Aizawl,Data Breach,Low,Banking,658965,23338,News,Open
CR00056,12-12-2025,Maharashtra,Pune,Identity Theft,Medium,Government,3698674,32307,CERT-In,Investigating
CR00057,13-06-2026,Andhra Pradesh,Visakhapatnam,Ransomware,Critical,E-commerce,2610266,23696,CERT-In,Resolved
CR00058,29-09-2025,Tripura,Agartala,Phishing,High,Personal,200402,11453,User Report,Investigating
CR00059,23-05-2025,Karnataka,Mysuru,Data Breach,Critical,IT,4998347,4712,News,Open
CR00060,02-01-2025,Madhya Pradesh,Gwalior,Data Breach,Medium,E-commerce,4185629,43350,Organization,Open
CR00061,18-04-2025,Maharashtra,Nashik,Data Breach,Medium,IT,15590,19918,CERT-In,Investigating
CR00062,19-09-2025,Odisha,Bhubaneswar,Ransomware,Low,E-commerce,1110149,16920,News,Resolved
CR00063,02-12-2024,Sikkim,Gangtok,Online Fraud,Medium,Government,1717185,46650,CERT-In,Investigating
CR00064,12-10-2025,Odisha,Cuttack,Phishing,Low,Corporate,3377701,2181,User Report,Resolved
CR00065,10-04-2026,Manipur,Imphal,Ransomware,Low,IT,2030866,38489,CERT-In,Open
CR00066,22-03-2024,Delhi,New Delhi,DDoS,Low,Education,1982705,46094,User Report,Investigating
CR00067,10-07-2024,Delhi,New Delhi,Online Fraud,Critical,Corporate,1515082,47541,News,Investigating
CR00068,27-12-2024,Tripura,Agartala,Identity Theft,High,E-commerce,2160534,6663,Organization,Open
CR00069,15-03-2025,Lakshadweep,Kavaratti,Data Breach,Low,E-commerce,3679653,4486,News,Resolved
CR00070,17-10-2024,Karnataka,Mangaluru,Ransomware,High,Banking,4036532,21606,News,Investigating
CR00071,09-10-2025,Chhattisgarh,Bilaspur,Identity Theft,Medium,Education,4993777,39217,News,Investigating
CR00072,31-01-2025,Ladakh,Leh,Malware,Critical,E-commerce,937125,26059,News,Resolved
CR00073,20-10-2025,Sikkim,Gangtok,Phishing,Medium,Education,449611,25712,User Report,Open
CR00074,13-04-2024,West Bengal,Durgapur,DDoS,Medium,Government,1205089,9715,News,Investigating
CR00075,12-10-2025,Meghalaya,Shillong,Phishing,Medium,Banking,2403518,28708,CERT-In,Resolved
CR00076,16-01-2025,Andhra Pradesh,Visakhapatnam,Phishing,Low,Personal,2095336,30950,Organization,Resolved
CR00077,04-09-2024,Mizoram,Aizawl,Ransomware,Low,Government,3225025,38010,CERT-In,Resolved
CR00078,19-03-2024,Madhya Pradesh,Bhopal,Ransomware,Low,Personal,4961754,38247,CERT-In,Open
CR00079,20-02-2025,Punjab,Amritsar,DDoS,High,Healthcare,4231414,11490,User Report,Investigating
CR00080,01-01-2026,Uttar Pradesh,Lucknow,Identity Theft,Critical,E-commerce,1959486,32451,News,Investigating
CR00081,09-05-2024,Sikkim,Gangtok,Malware,High,Personal,2845893,42951,User Report,Open
CR00082,21-07-2025,Andaman and Nicobar Islands,Port Blair,Ransomware,Low,Personal,92328,14836,User Report,Investigating
CR00083,01-11-2025,Mizoram,Aizawl,Identity Theft,Critical,Education,2548664,19631,User Report,Resolved
CR00084,15-12-2024,Puducherry,Puducherry,Malware,Critical,Corporate,1433409,27870,Organization,Resolved
CR00085,22-01-2026,Uttar Pradesh,Varanasi,Online Fraud,High,Education,3051546,15265,News,Investigating
CR00086,18-01-2026,Maharashtra,Mumbai,Ransomware,Critical,E-commerce,158613,19320,Organization,Open
CR00087,27-08-2024,Chandigarh,Chandigarh,Data Breach,Critical,Personal,624407,39572,CERT-In,Open
CR00088,24-11-2025,Chandigarh,Chandigarh,Online Fraud,Critical,Personal,1601330,19492,News,Resolved
CR00089,14-05-2024,Maharashtra,Nagpur,Malware,Critical,Government,3218599,32678,Organization,Resolved
CR00090,21-12-2024,Uttarakhand,Haridwar,Online Fraud,Medium,E-commerce,3541861,17630,User Report,Resolved
CR00091,09-12-2024,West Bengal,Durgapur,Online Fraud,High,Education,3818245,33664,User Report,Open
CR00092,12-06-2025,Haryana,Gurugram,Ransomware,Low,Personal,2045733,42715,News,Investigating
CR00093,11-12-2024,Mizoram,Aizawl,Data Breach,Medium,Personal,955740,36742,User Report,Open
CR00094,21-12-2024,Haryana,Gurugram,Identity Theft,High,Corporate,1684839,41142,User Report,Resolved
CR00095,22-09-2025,Kerala,Kochi,Ransomware,Critical,IT,708900,40053,News,Open
CR00096,08-01-2026,Telangana,Warangal,Malware,Critical,Government,1150580,11606,User Report,Open
CR00097,18-02-2025,Uttar Pradesh,Varanasi,Online Fraud,High,Personal,4327405,3653,CERT-In,Investigating
CR00098,20-07-2025,Puducherry,Puducherry,Phishing,Low,Banking,3004716,27131,User Report,Resolved
CR00099,16-10-2024,Tripura,Agartala,Online Fraud,Medium,IT,4704746,11947,News,Open
CR00100,07-09-2025,Lakshadweep,Kavaratti,Data Breach,High,Healthcare,4581905,29725,Organization,Resolved
CR00101,19-12-2025,Telangana,Hyderabad,Phishing,Critical,Personal,2488683,24334,User Report,Investigating
CR00102,13-04-2025,Bihar,Muzaffarpur,Online Fraud,High,Banking,3968987,12479,Organization,Open
CR00103,25-07-2026,West Bengal,Kolkata,Identity Theft,Critical,Banking,150865,14357,User Report,Open
CR00104,19-03-2025,Nagaland,Kohima,Data Breach,Low,Banking,1051947,18383,CERT-In,Investigating
CR00105,20-04-2026,Kerala,Kochi,Ransomware,Low,Personal,4353095,9806,User Report,Resolved
CR00106,05-10-2025,Chandigarh,Chandigarh,DDoS,Low,E-commerce,1587198,41198,CERT-In,Resolved
CR00107,05-11-2024,Dadra and Nagar Haveli and Daman and Diu,Daman,Phishing,Low,Corporate,1881151,49079,Organization,Resolved
CR00108,28-01-2025,Jammu and Kashmir,Srinagar,Ransomware,Medium,Personal,995238,39760,Organization,Resolved
CR00109,14-10-2024,Tamil Nadu,Coimbatore,Data Breach,Critical,Healthcare,4297158,16396,User Report,Open
CR00110,22-07-2026,Ladakh,Leh,Data Breach,Low,IT,140080,16717,User Report,Resolved
CR00111,11-02-2024,Chhattisgarh,Raipur,Malware,Critical,E-commerce,1050890,47001,CERT-In,Investigating
CR00112,27-03-2025,Uttar Pradesh,Noida,Malware,Medium,Banking,1742861,24287,CERT-In,Investigating
CR00113,06-06-2024,Chandigarh,Chandigarh,DDoS,High,Banking,857253,30657,News,Investigating
CR00114,19-12-2024,Kerala,Kochi,Ransomware,Medium,Personal,799965,47530,Organization,Open
CR00115,30-05-2025,Delhi,New Delhi,Malware,Critical,Government,3508799,48372,News,Investigating
CR00116,14-04-2024,Lakshadweep,Kavaratti,Malware,High,E-commerce,3081603,3608,User Report,Investigating
CR00117,29-07-2025,Madhya Pradesh,Gwalior,Data Breach,Medium,E-commerce,1791227,17359,News,Resolved
CR00118,16-09-2024,Lakshadweep,Kavaratti,Phishing,Medium,IT,1057214,19204,CERT-In,Resolved
CR00119,01-07-2024,Maharashtra,Nashik,Online Fraud,Critical,Corporate,2120380,20049,Organization,Resolved
CR00120,21-06-2025,Mizoram,Aizawl,Data Breach,Low,Personal,3712647,38966,News,Open
CR00121,30-07-2026,Delhi,New Delhi,Malware,Medium,Corporate,2942959,17453,CERT-In,Investigating
CR00122,24-09-2025,Gujarat,Rajkot,Malware,High,Corporate,3839344,43434,User Report,Investigating
CR00123,13-11-2024,Bihar,Patna,Ransomware,High,Healthcare,1335576,7142,User Report,Investigating
CR00124,04-06-2024,Kerala,Kochi,Malware,Low,Healthcare,1196354,27457,News,Resolved
CR00125,10-01-2025,Delhi,New Delhi,Identity Theft,Critical,Personal,4629291,12193,User Report,Resolved
CR00126,12-12-2024,Goa,Margao,Ransomware,Critical,Government,3099234,44833,User Report,Resolved
CR00127,07-03-2024,Lakshadweep,Kavaratti,Data Breach,Critical,Personal,1832321,46119,CERT-In,Investigating
CR00128,29-09-2025,Bihar,Muzaffarpur,Ransomware,Medium,Government,1883283,38062,Organization,Resolved
CR00129,09-05-2025,Bihar,Muzaffarpur,Online Fraud,Critical,E-commerce,4269002,26487,News,Investigating
CR00130,31-10-2025,Maharashtra,Nashik,Data Breach,Medium,E-commerce,2497169,26784,Organization,Resolved
CR00131,03-05-2026,Chhattisgarh,Raipur,Identity Theft,Critical,Personal,3137291,16397,News,Investigating
CR00132,16-11-2025,Maharashtra,Pune,Data Breach,High,Healthcare,3133232,9289,News,Resolved
CR00133,04-05-2025,Chhattisgarh,Raipur,DDoS,High,Education,517423,46555,CERT-In,Resolved
CR00134,07-04-2026,Tamil Nadu,Coimbatore,Data Breach,Low,E-commerce,1805931,7508,CERT-In,Investigating
CR00135,23-03-2026,Kerala,Kochi,Malware,Medium,Education,1818379,19049,CERT-In,Resolved
CR00136,26-08-2025,Tripura,Agartala,Ransomware,Low,IT,440593,13277,User Report,Investigating
CR00137,05-09-2024,Dadra and Nagar Haveli and Daman and Diu,Daman,Ransomware,Low,Personal,4452519,21818,User Report,Open
CR00138,19-01-2026,Puducherry,Puducherry,Ransomware,Low,Personal,4330982,21876,News,Investigating
CR00139,26-02-2024,Delhi,New Delhi,Online Fraud,High,Healthcare,3383054,46380,User Report,Open
CR00140,28-02-2024,Meghalaya,Shillong,Phishing,Medium,E-commerce,4147123,11924,News,Investigating
CR00141,23-06-2025,Puducherry,Puducherry,Online Fraud,Low,Banking,4845343,34442,News,Resolved
CR00142,16-03-2025,West Bengal,Siliguri,Phishing,High,E-commerce,1294476,13844,CERT-In,Open
CR00143,10-02-2024,Goa,Margao,Ransomware,High,IT,227596,14891,News,Open
CR00144,19-02-2025,Meghalaya,Shillong,Phishing,Critical,E-commerce,2721975,30907,CERT-In,Resolved
CR00145,27-11-2024,Gujarat,Surat,DDoS,Low,Healthcare,1325711,24166,CERT-In,Open
CR00146,30-04-2024,Maharashtra,Nashik,Malware,High,Healthcare,4135538,3935,CERT-In,Open
CR00147,05-03-2026,Andhra Pradesh,Vijayawada,Malware,Medium,Government,3104061,45510,CERT-In,Resolved
CR00148,28-09-2025,Uttarakhand,Haridwar,DDoS,Low,Healthcare,2475846,13454,User Report,Investigating
CR00149,19-03-2026,Jammu and Kashmir,Jammu,Identity Theft,Critical,IT,4028093,14439,Organization,Open
CR00150,09-10-2024,Dadra and Nagar Haveli and Daman and Diu,Daman,Identity Theft,Low,Personal,1004567,37196,News,Investigating
CR00151,17-09-2025,Odisha,Cuttack,Online Fraud,Medium,Personal,1635851,22644,CERT-In,Investigating
CR00152,18-12-2024,Jharkhand,Ranchi,Data Breach,Critical,IT,4625222,38634,Organization,Investigating
CR00153,29-07-2024,Telangana,Warangal,Identity Theft,Low,Education,3169878,21348,Organization,Resolved
CR00154,14-01-2026,Puducherry,Puducherry,Ransomware,High,Government,3554426,40054,User Report,Open
CR00155,07-02-2024,Telangana,Hyderabad,Identity Theft,Medium,Government,3858218,33005,News,Resolved
CR00156,28-01-2025,Goa,Panaji,Data Breach,Critical,Personal,3869948,3998,News,Resolved
CR00157,16-04-2024,Uttar Pradesh,Lucknow,DDoS,Critical,E-commerce,1243405,3358,News,Resolved
CR00158,05-07-2024,Andaman and Nicobar Islands,Port Blair,Malware,Low,Personal,1569923,9438,User Report,Open
CR00159,21-07-2026,Assam,Dibrugarh,Identity Theft,Low,Government,4830958,28616,User Report,Investigating
CR00160,18-07-2026,Kerala,Kochi,Data Breach,Critical,Government,1952298,49286,User Report,Resolved
CR00161,25-11-2025,Jharkhand,Jamshedpur,Online Fraud,Medium,Education,4516867,12111,User Report,Open
CR00162,24-06-2024,Gujarat,Vadodara,Ransomware,Medium,Government,907006,6918,Organization,Resolved
CR00163,26-05-2026,Uttar Pradesh,Lucknow,Identity Theft,Medium,Education,1454611,41291,CERT-In,Resolved
CR00164,24-10-2025,Dadra and Nagar Haveli and Daman and Diu,Silvassa,Phishing,Critical,IT,3161858,10973,Organization,Investigating
CR00165,16-09-2025,Gujarat,Surat,Identity Theft,Medium,Corporate,982907,37121,User Report,Resolved
CR00166,22-07-2025,Odisha,Cuttack,Data Breach,Low,Education,1745712,8705,CERT-In,Investigating
CR00167,05-05-2024,Meghalaya,Shillong,Data Breach,Medium,Government,791267,14941,News,Open
CR00168,31-10-2025,Jharkhand,Ranchi,DDoS,Medium,Personal,2672563,22952,News,Investigating
CR00169,10-06-2024,Haryana,Panipat,Ransomware,Medium,IT,2160854,33597,CERT-In,Open
CR00170,01-02-2026,Lakshadweep,Kavaratti,DDoS,Critical,Healthcare,3647778,19572,User Report,Investigating
CR00171,06-06-2024,Ladakh,Leh,Identity Theft,Low,IT,2293457,11091,CERT-In,Resolved
CR00172,12-06-2024,Karnataka,Bengaluru,DDoS,Low,IT,4487349,46309,CERT-In,Investigating
CR00173,12-01-2026,Puducherry,Puducherry,Identity Theft,Critical,Government,1320450,6502,Organization,Investigating
CR00174,01-03-2025,Chandigarh,Chandigarh,Identity Theft,High,Education,1347901,15539,User Report,Open
CR00175,23-02-2024,Gujarat,Rajkot,Identity Theft,Medium,Personal,3307597,23000,User Report,Investigating
CR00176,23-07-2024,Jharkhand,Ranchi,Identity Theft,Low,E-commerce,645028,8736,Organization,Open
CR00177,17-06-2024,Puducherry,Puducherry,Online Fraud,Critical,E-commerce,1662460,30047,User Report,Resolved
CR00178,05-04-2026,Delhi,New Delhi,Data Breach,Medium,Personal,174919,18821,User Report,Resolved
CR00179,27-04-2024,Telangana,Hyderabad,Ransomware,Low,E-commerce,3191530,36865,News,Investigating
CR00180,22-01-2026,Nagaland,Kohima,DDoS,High,Personal,4296245,20392,User Report,Open
CR00181,16-05-2026,Manipur,Imphal,Malware,Medium,Government,2117048,3583,Organization,Resolved
CR00182,24-10-2024,Andhra Pradesh,Visakhapatnam,DDoS,High,E-commerce,1731708,34875,News,Open
CR00183,27-04-2025,Uttar Pradesh,Varanasi,Phishing,Critical,Education,1453731,41338,User Report,Resolved
CR00184,03-03-2025,Rajasthan,Jodhpur,Online Fraud,Low,IT,1814229,49317,CERT-In,Open
CR00185,18-08-2025,Ladakh,Leh,Data Breach,High,Personal,348654,42526,CERT-In,Resolved
CR00186,13-09-2025,Arunachal Pradesh,Naharlagun,Phishing,Medium,Personal,4948416,40592,Organization,Resolved
CR00187,30-11-2024,Chandigarh,Chandigarh,Ransomware,Medium,Education,2154401,43196,User Report,Resolved
CR00188,30-06-2025,Haryana,Gurugram,Malware,Low,Healthcare,2267742,1577,User Report,Investigating
CR00189,02-10-2025,Delhi,New Delhi,Online Fraud,High,Banking,1289370,20613,News,Investigating
CR00190,25-04-2026,Rajasthan,Udaipur,Identity Theft,Critical,E-commerce,4744250,48870,News,Open
CR00191,26-06-2026,Ladakh,Leh,Phishing,Critical,IT,4395366,9012,User Report,Investigating
CR00192,09-01-2024,Goa,Margao,Online Fraud,Medium,E-commerce,2059161,10522,News,Investigating
CR00193,04-02-2024,Puducherry,Puducherry,Data Breach,Low,Personal,1610884,41188,CERT-In,Investigating
CR00194,25-09-2025,Nagaland,Dimapur,Ransomware,Medium,Healthcare,2197813,25723,Organization,Resolved
CR00195,04-03-2024,Puducherry,Puducherry,Malware,Critical,Education,1343753,38364,Organization,Resolved
CR00196,12-06-2024,Lakshadweep,Kavaratti,Online Fraud,High,Education,4111211,20769,Organization,Open
CR00197,13-08-2024,Sikkim,Gangtok,Malware,Critical,E-commerce,4671686,14035,User Report,Resolved
CR00198,29-10-2024,Delhi,New Delhi,Phishing,Low,IT,2530441,14865,News,Investigating
CR00199,14-12-2025,Chhattisgarh,Raipur,Malware,Low,Personal,953199,10417,User Report,Resolved
CR00200,29-11-2025,Andhra Pradesh,Vijayawada,Ransomware,Medium,Banking,4272125,28069,News,Open
CR00201,09-09-2024,Maharashtra,Mumbai,DDoS,Medium,Healthcare,3141741,38905,CERT-In,Investigating
CR00202,11-07-2025,Haryana,Panipat,Malware,High,Healthcare,4515195,32115,User Report,Resolved
CR00203,20-02-2026,Haryana,Gurugram,Malware,Low,Personal,2047147,28485,User Report,Open
CR00204,22-10-2025,Tamil Nadu,Chennai,Ransomware,Medium,IT,3557875,33530,News,Investigating
CR00205,19-02-2026,Lakshadweep,Kavaratti,DDoS,High,IT,2456638,48413,News,Open
CR00206,16-06-2024,Assam,Dibrugarh,Phishing,High,IT,2306596,8753,Organization,Investigating
CR00207,13-02-2026,Goa,Panaji,Identity Theft,Critical,Personal,1240885,26017,News,Resolved
CR00208,16-07-2026,Meghalaya,Shillong,Data Breach,Low,IT,3443796,1666,User Report,Resolved
CR00209,07-05-2025,Chhattisgarh,Bilaspur,Ransomware,Critical,Education,1099043,49045,User Report,Investigating
CR00210,08-01-2024,Chhattisgarh,Bilaspur,Ransomware,Medium,Banking,4568683,45556,Organization,Open
CR00211,01-12-2024,Bihar,Patna,Phishing,Medium,Education,3941023,28398,User Report,Resolved
CR00212,28-09-2024,Andhra Pradesh,Vijayawada,Malware,Critical,E-commerce,2216455,5750,CERT-In,Resolved
CR00213,30-01-2025,West Bengal,Kolkata,Malware,Low,E-commerce,2296634,41115,User Report,Investigating
CR00214,27-09-2024,Haryana,Gurugram,Ransomware,Low,E-commerce,4237501,39335,News,Resolved
CR00215,05-05-2026,Ladakh,Leh,Phishing,Critical,Corporate,1849962,40791,CERT-In,Open
CR00216,01-04-2025,Rajasthan,Udaipur,Identity Theft,High,Corporate,978514,31150,CERT-In,Resolved
CR00217,21-08-2025,Manipur,Imphal,Online Fraud,Medium,Corporate,3625967,33263,User Report,Resolved
CR00218,24-10-2025,Jharkhand,Jamshedpur,Phishing,Low,Government,1249704,6967,User Report,Open
CR00219,17-07-2025,Assam,Dibrugarh,Data Breach,Medium,E-commerce,4581065,20327,Organization,Open
CR00220,18-10-2024,Assam,Silchar,Data Breach,Critical,Healthcare,1366540,6671,News,Investigating
CR00221,24-10-2024,Uttar Pradesh,Kanpur,Identity Theft,High,Personal,2243133,14908,CERT-In,Resolved
CR00222,14-10-2025,Andaman and Nicobar Islands,Port Blair,Online Fraud,Medium,Banking,416913,41231,Organization,Open
CR00223,01-10-2025,Chandigarh,Chandigarh,Online Fraud,High,E-commerce,1256440,30043,News,Investigating
CR00224,28-12-2024,Maharashtra,Pune,Data Breach,Low,IT,527232,12977,User Report,Resolved
CR00225,19-03-2024,Kerala,Thiruvananthapuram,Online Fraud,Medium,Banking,272141,17266,CERT-In,Open
CR00226,22-05-2024,Punjab,Amritsar,Data Breach,Medium,Personal,964024,13912,News,Resolved
CR00227,05-02-2025,Lakshadweep,Kavaratti,Ransomware,High,Corporate,4275247,47402,News,Resolved
CR00228,24-05-2026,Nagaland,Dimapur,Malware,Critical,Corporate,4835462,15839,Organization,Investigating
CR00229,27-02-2026,Gujarat,Ahmedabad,Data Breach,Medium,Education,3060313,10010,News,Open
CR00230,16-09-2025,Maharashtra,Nashik,Malware,Critical,Healthcare,1123171,20222,CERT-In,Open
CR00231,30-12-2025,Chhattisgarh,Raipur,Identity Theft,High,Education,3504263,10198,Organization,Resolved
CR00232,27-08-2025,Bihar,Patna,Identity Theft,Medium,Corporate,21642,22873,User Report,Open
CR00233,15-04-2024,Uttarakhand,Haridwar,Ransomware,High,IT,1309698,48823,Organization,Open
CR00234,25-11-2024,Himachal Pradesh,Dharamshala,Ransomware,Low,Education,2240348,2316,News,Resolved
CR00235,23-06-2024,Karnataka,Mysuru,Malware,High,Education,1590235,42940,User Report,Investigating
CR00236,11-06-2024,Odisha,Cuttack,Ransomware,Critical,Personal,2441520,20608,Organization,Open
CR00237,28-07-2026,Telangana,Hyderabad,Identity Theft,Low,IT,3034504,18107,User Report,Open
CR00238,30-06-2024,Karnataka,Mangaluru,Data Breach,Low,Banking,1569235,2959,Organization,Open
CR00239,28-08-2024,Jammu and Kashmir,Jammu,Malware,High,Corporate,1307328,37891,CERT-In,Resolved
CR00240,23-12-2025,Jammu and Kashmir,Srinagar,DDoS,Low,IT,3060744,31485,Organization,Open
CR00241,27-01-2025,Tripura,Agartala,Online Fraud,Low,Corporate,157891,30730,User Report,Investigating
CR00242,29-01-2026,Meghalaya,Shillong,Malware,Medium,Banking,4733909,27433,CERT-In,Open
CR00243,25-06-2026,Himachal Pradesh,Shimla,Phishing,Critical,Government,3651475,29339,CERT-In,Resolved
CR00244,05-12-2024,Arunachal Pradesh,Itanagar,Phishing,High,E-commerce,3441654,25521,User Report,Open
CR00245,17-06-2026,Assam,Dibrugarh,Identity Theft,Low,E-commerce,3957027,47741,News,Investigating
CR00246,01-03-2026,Delhi,New Delhi,Phishing,High,Personal,4856754,46755,CERT-In,Investigating
CR00247,19-12-2024,Assam,Dibrugarh,Online Fraud,High,Healthcare,3360483,13708,CERT-In,Resolved
CR00248,27-03-2025,Puducherry,Puducherry,Phishing,Medium,Government,2815183,24005,News,Investigating
CR00249,03-02-2025,Lakshadweep,Kavaratti,Online Fraud,Medium,E-commerce,2648885,38586,CERT-In,Investigating
CR00250,29-11-2025,Jammu and Kashmir,Srinagar,DDoS,Low,Corporate,414755,1314,News,Open
CR00251,27-03-2024,Tamil Nadu,Coimbatore,Malware,Low,Personal,1703561,41311,CERT-In,Open
CR00252,28-08-2025,Dadra and Nagar Haveli and Daman and Diu,Daman,Malware,High,Education,4346057,9166,User Report,Open
CR00253,27-08-2024,Andhra Pradesh,Guntur,Online Fraud,Low,Healthcare,4600161,29690,CERT-In,Resolved
CR00254,04-07-2024,Sikkim,Gangtok,Data Breach,Low,E-commerce,39448,31859,News,Open
CR00255,24-01-2025,Bihar,Muzaffarpur,Data Breach,High,Banking,4190424,6260,User Report,Resolved
CR00256,13-07-2024,Telangana,Hyderabad,Data Breach,Low,Corporate,4087240,3302,User Report,Open
CR00257,21-04-2024,Jammu and Kashmir,Jammu,Online Fraud,Low,Corporate,2767930,16667,CERT-In,Resolved
CR00258,06-08-2025,Assam,Guwahati,DDoS,High,Personal,4133825,24888,Organization,Open
CR00259,29-06-2024,Uttar Pradesh,Kanpur,Ransomware,Medium,Government,804856,927,News,Resolved
